name,brand,price,img,description,url
Camiseta Mr Kitsch Logo Vermelha,Mr Kitsch,"R$ 35,99",https://static.dafiti.com.br/p/Mr-Kitsch-Camiseta-Mr-Kitsch-Logo-Vermelha-3971-0648874-1-zoom.jpg,"Camiseta Mr Kitsch Logo VermelhaManga: CurtaGola: RedondaMedidas da peça no tamanho M: Ombro: 16cm/ Ombro a Ombro: 51cm/ Manga: 24cm/ Tórax: 118cm /Comprimento: 75cmMedidas do Modelo: Altura: 1,87m/ Tórax: 94cm/ Manequim: 40.",https://www.dafiti.com.br/Camiseta-Mr-Kitsch-Logo-Vermelha-4788460.html
Camiseta Reserva Chuva Branca,Reserva,"R$ 79,99",https://static.dafiti.com.br/p/Reserva-Camiseta-Reserva-Chuva-Branca-0570-9561328-1-zoom.jpg,"Camiseta Reserva Chuva BrancaManga: CurtaGola: RedondaMedidas da peça no tamanho M: Ombro: 17cm/ Ombro a Ombro: 50cm/ Manga: 22cm/ Tórax: 106cm /Comprimento: 69cmMedidas do Modelo: Altura: 1,86m/ Tórax: 94cm/ Manequim 40.",https://www.dafiti.com.br/Camiseta-Reserva-Chuva-Branca-8231659.html
Camiseta Aramis Básica Preta,Aramis,"R$ 94,99",https://static.dafiti.com.br/p/Aramis-Camiseta-Aramis-Básica-Preta-3955-4175574-1-zoom.jpg,"Camiseta Aramis Básica PretaModelagem: RetaManga: CurtaGola: VTamanho: MMaterial: AlgodãoComposição: 100% algodãoTipo de Tecido: MalhaLavagem: Lavar à mãoMedidas da peça: Ombro: 13cm/ Ombro a Ombro: 50cm/ Manga: 22cm/ Tórax: 114cm /Comprimento: 70cmMedidas Modelo: Altura: 1,87m/ Tórax: 99cm/ Manequim 40.Características Especiais: Possui logo bordado",https://www.dafiti.com.br/Camiseta-Aramis-Basica-Preta-4755714.html
Kit c/3 calça jeans masculina Mania do jeans,Mania do Jeans,"R$ 159,00",https://static.dafiti.com.br/p/Mania-do-Jeans-Kit-c/3-calça-jeans-masculina-Mania-do-jeans-7501-9153777-1-zoom.jpg,"kit c/3 calças jeans masculina produto Premium original otima qualidade !",https://www.dafiti.com.br/Kit-c%2F3-calca-jeans-masculina-Mania-do-jeans-7773519.html
Short e Bermuda Lisa Liso Masculina Tactel Básico Moda Básica Preto,Resina,"R$ 29,90",https://static.dafiti.com.br/p/Resina-Short-e-Bermuda-Lisa-Liso-Masculina-Tactel-Básico-Moda-Básica-Preto-3093-1379068-1-zoom.jpg,"Nos dias de calor, o que mais queremos é nos sentir refrescados. Para isso, usar um short é uma ótima pedida, pensando nesse problema nós lançamos nossos próprios modelos. São peças versáteis, onde combinam com qualquer outro modelo de roupa. Seu tecido microfibra e 100% poliéster promovem um toque refrescante, te deixando confortável para o dia-dia. Benefícios:Peça de roupa versátil, combinando com qualquer estilo.Possui um tecido refrescante, te promove conforto para o uso diário",https://www.dafiti.com.br/Short-e-Bermuda-Lisa-Liso-Masculina-Tactel-Basico-Moda-Basica-Preto-8609731.html
Calça Jeans Pentagono Masculino Azul Escuro,KS CASUAL & SPORT,"R$ 59,90",https://static.dafiti.com.br/p/KS-CASUAL-&-SPORT-Calça-Jeans-Pentagono-Masculino-Azul-Escuro-6796-7261068-1-zoom.jpg,"Calça Jeans Pentagono MasculinoSe fossemos explicar o que a Calça Jeans Pentagono Masculino em uma única palavra, essa palavra seria: estilo. Com seu corte skinny e lavagem moderna, é perfeita para qualquer tipo de evento ou até mesmo no dia a dia. Quer conhecer mais da Calça Jeans Pentagono Masculino? Então vamos lá:Dois bolsos dianteiros pensados para guardar celulares Dois bolsos traseiros, confortáveis e seguros;Elastano para melhor adaptação e modelagem no corpo;Modelagem pensada de forma moderna e adaptável. Medidas Aproximadas:Tamanho: 36cm - Comprimento: 106-108cm - Cintura: 35-41cm - Quadril: 46-48cm;Tamanho: 38cm - Comprimento: 108-110cm - Cintura: 37-46cm - Quadril: 48-50cm;Tamanho: 40cm - Comprimento: 110-112cm - Cintura: 43-47cm - Quadril: 50-52cm;Tamanho: 42cm - Comprimento: 110-112cm - Cintura: 44-50cm - Quadril: 52-54cm;Tamanho: 44cm - Comprimento: 110-112cm - Cintura: 45-52cm - Quadril: 54-56cm;Tamanho: 46cm - Comprimento: 110-112cm - Cintura: 46-54cm - Quadril: 56-58cm;Tamanho: 48cm - Comprimento: 110-112cm - Cintura: 50-55cm - Quadril: 60-62cm;Disponível nas cores: Azul Escuro, Azul Claro e Preto.Disponível em diversos tamanhos, a Calça Jeans Pentagono Masculino é feita para qualquer pessoa que queira aliar o conforto com o estilo em seu dia a dia. Se você não abre mão de estar sempre bem arrumado e confortável, esse modelo de calça é perfeito para você. Precisando de mais modelos para compor seu look? Adicione a Calça Jeans Pentagono Masculino ao carrinho e dê uma olhada em nosso catálogo de roupas, você encontrará tudo o que precisa para estar sempre na moda e preparado.Na KS Casual & Sport você encontra a roupa certa para cada momento. Com ótimas formas de pagamento, aqui é o lugar que você procurava para repaginar seu guarda-roupa com estilo e ótimos valores. Não perca mais tempo e mostre ao mundo seu novo eu, com roupas estilosas e cheias de personalidade.*Medidas aproximadas. Tamanhos podem variar em até 2,5cm para mais ou menos, devido as variações de temperatura, lavagem e armazenamentos dos tecidos.",https://www.dafiti.com.br/Calca-Jeans-Pentagono-Masculino-Azul-Escuro-8601627.html
Kit 2pçs Calvin Klein Underwear Slip Logo Preto/Cinza,Calvin Klein Underwear,"R$ 84,99",https://static.dafiti.com.br/p/Calvin-Klein-Underwear-Kit-2pçs-Calvin-Klein-Underwear-Slip-Logo-Preto/Cinza-4182-3236555-1-zoom.jpg,Kit 2pçs Calvin Klein Underwear Slip Logo Preto/CinzaMedidas da peça no tamanho M: Cintura: 70cm /Lateral: 12cm /Comprimento: 26cm (medidas sem elasticidade),https://www.dafiti.com.br/Kit-2pcs-Calvin-Klein-Underwear-Slip-Logo-Preto%2FCinza-5556323.html
Camiseta Aramis Cromado Grafite,Aramis,"R$ 79,99",https://static.dafiti.com.br/p/Aramis-Camiseta-Aramis-Cromado-Grafite-4555-1189067-1-zoom.jpg,"Camiseta Aramis Cromado GrafiteManga: CurtaGola: RedondaMedidas da peça no tamanho M: Ombro: 15cm/ Ombro a Ombro: 50cm/ Manga: 22cm/ Tórax: 116cm /Comprimento: 75cmMedidas do Modelo: Altura: 1,87m/ Tórax: 94cm/ Manequim: 40.",https://www.dafiti.com.br/Camiseta-Aramis-Cromado-Grafite-7609811.html
Camiseta Joss Corte a Fio Caveira Pantanal  Branco,Joss,"R$ 59,90",https://static.dafiti.com.br/p/Joss-Camiseta-Joss-Corte-a-Fio-Caveira-Pantanal--Branco-7282-9872756-1-zoom.jpg,"Camiseta Masculina com caimento reto, máxima qualidade e conforto para o seu dia a dia.  Composição: 100% Algodão Egípcio Tipo de Tecido: Malha 30.1 Gola: Canoa Tipo de Produto: Camiseta Modelagem: Reta Manga: Curta Garantia: 7 dias após o recebimento   Compre sem medo, oferecemos a primeira troca grátis para defeitos, tamanhos, modelos ou devolução :) Ainda está com dúvidas? Entre em contato, vamos te ajudar",https://www.dafiti.com.br/Camiseta-Joss-Corte-a-Fio-Caveira-Pantanal--Branco-6572789.html
Calça Masculina Chino Sarja Preto com Elastano Skinny,ECXO JEANS,"R$ 79,90",https://static.dafiti.com.br/p/ECXO-JEANS-Calça-Masculina-Chino-Sarja-Preto-com-Elastano-Skinny-6775-9615578-1-zoom.jpg,"Calça Masculina Chino Sarja com Elastano Corte Skinny , em tecido de algodão e elastano. As calças são indispensáveis no dia a dia dos homens, seja para looks casuais ou formais, elas esbanjam conforto e estilo. O modelo skinny tem caimento mais ajustado ao corpo, possui fechamento por zíper e botão, passantes para cinto, bolsos funcionais estilo faca na parte frontal e bolsos costas embutidos. Você pode combinar com camisas e camisetas Caps Co e completar combinações super estilosas. Invista!",https://www.dafiti.com.br/Calca-Masculina-Chino-Sarja-Preto-com-Elastano-Skinny-8755169.html
